percent,patient_angle,standard_angle,deviation,standard_lower_band,standard_upper_band,outside_standard_band
0.0,5.217033,8.743174,-3.526141,0.29966,16.90234,False
1.0,5.235519,8.819262,-3.583743,0.437459,17.046777,False
2.0,5.253175,8.908721,-3.655546,0.557686,17.215123,False
3.0,5.2885,9.101456,-3.812956,0.679398,17.415652,False
4.0,5.322983,9.353121,-4.030138,0.862561,17.670558,False
5.0,5.35995,9.692264,-4.332314,1.155621,17.973727,False
6.0,5.444075,10.141938,-4.697863,1.540905,18.459981,False
7.0,5.576175,10.739019,-5.162844,1.935123,19.229117,False
8.0,5.76385,11.508331,-5.744481,2.341077,20.250711,False
9.0,6.07626,12.462835,-6.386575,2.946866,21.55706,False
10.0,6.51008,13.634228,-7.124148,3.686085,23.136381,False
11.0,7.02066,15.062661,-8.042001,4.518655,25.027277,False
12.0,7.633368,16.742287,-9.108919,5.507722,27.370447,False
13.0,8.498248,18.655291,-10.157043,6.814146,30.061967,False
14.0,9.54614,20.784476,-11.238336,8.256991,33.043195,False
15.0,10.737763,23.12675,-12.388987,9.836187,36.116327,False
16.0,12.053183,25.659708,-13.606525,11.57109,39.266688,False
17.0,13.467032,28.329227,-14.862195,13.71734,42.583572,True
18.0,14.827019,31.133645,-16.306626,15.964462,46.241228,True
19.0,15.874903,34.056981,-18.182078,18.069357,49.926022,True
20.0,16.623536,37.037252,-20.413716,20.235124,53.761565,True
21.0,17.43656,40.035918,-22.599358,22.490316,57.580825,True
22.0,18.2736,43.084027,-24.810427,24.883918,61.2197,True
23.0,19.1168,46.163228,-27.046428,27.252411,64.939945,True
24.0,20.03376,49.257788,-29.224028,29.831536,68.644927,True
25.0,21.054204,52.408883,-31.354679,32.542709,72.245996,True
26.0,22.121093,55.593416,-33.472323,35.277719,75.739022,True
27.0,23.234427,58.766464,-35.532037,38.42498,79.189584,True
28.0,24.03744,61.930519,-37.893079,41.563107,82.474583,True
29.0,24.290638,65.090029,-40.799391,44.640867,85.566072,True
30.0,24.440524,68.198038,-43.757514,47.855023,88.57423,True
31.0,26.647823,71.255703,-44.60788,51.07953,91.532314,True
32.0,28.474409,74.224529,-45.75012,54.505832,94.188825,True
33.0,30.000594,77.073006,-47.072412,58.085065,96.529275,True
34.0,31.226378,79.784045,-48.557667,61.332395,98.562802,True
35.0,32.215721,82.346595,-50.130874,64.474913,100.43911,True
36.0,32.986932,84.75406,-51.767128,67.551239,102.170993,True
37.0,33.661199,87.021625,-53.360426,70.566038,103.754118,True
38.0,34.305144,89.152242,-54.847098,73.465809,105.223184,True
39.0,34.918767,91.144424,-56.225657,76.029351,106.541497,True
40.0,35.545714,92.976513,-57.430799,78.566695,107.653496,True
41.0,36.189283,94.631824,-58.442541,80.994627,108.649422,True
42.0,36.794123,96.130157,-59.336034,83.059726,109.581324,True
43.0,37.369268,97.455562,-60.086294,84.895366,110.346739,True
44.0,37.914717,98.634166,-60.719449,86.466496,111.087679,True
45.0,38.40206,99.666586,-61.264526,87.343305,112.130938,True
46.0,38.808936,100.555568,-61.746632,88.180777,113.24931,True
47.0,39.18385,101.306133,-62.122283,88.886437,114.07881,True
48.0,39.526801,101.942736,-62.415935,89.244193,114.887738,True
49.0,39.830121,102.408953,-62.578832,89.318239,115.741581,True
50.0,40.07529,102.725015,-62.649725,89.370487,116.469792,True
51.0,40.281632,102.884455,-62.602823,88.929557,117.162693,True
52.0,40.476053,102.88007,-62.404017,88.444479,117.681393,True
53.0,40.66044,102.684618,-62.024178,87.689615,118.03671,True
54.0,40.842462,102.334728,-61.492266,86.656654,118.35932,True
55.0,41.047339,101.835928,-60.788589,85.184918,118.700846,True
56.0,41.28635,101.180041,-59.893691,83.557669,119.035678,True
57.0,41.568093,100.363795,-58.795702,82.001892,119.135976,True
58.0,41.890683,99.373535,-57.482852,80.113603,119.053857,True
59.0,42.254119,98.176988,-55.922869,77.961569,118.891941,True
60.0,42.735104,96.778867,-54.043763,75.517165,118.466001,True
61.0,43.20847,95.218967,-52.010497,72.71283,117.915043,True
62.0,43.665434,93.491953,-49.826519,70.164411,116.992245,True
63.0,44.095784,91.631386,-47.535602,67.649052,115.919413,True
64.0,44.487168,89.666095,-45.178927,65.052108,114.531264,True
65.0,44.714787,87.553014,-42.838227,62.447788,112.92971,True
66.0,44.835925,85.260337,-40.424412,59.932073,111.042881,True
67.0,44.825289,82.801819,-37.97653,57.231842,108.79401,True
68.0,44.447423,80.216464,-35.769041,54.426723,106.214974,True
69.0,44.03967,77.458264,-33.418594,51.530661,103.467532,True
70.0,43.602031,74.57641,-30.974379,48.792678,100.731265,True
71.0,43.008943,71.615949,-28.607006,45.943198,97.449752,True
72.0,41.839635,68.588246,-26.748611,43.151953,94.055363,True
73.0,40.101095,65.436611,-25.335516,40.412679,90.624409,True
74.0,37.93378,62.212445,-24.278665,37.530337,87.190827,False
75.0,37.505837,58.897048,-21.391211,34.611557,83.396034,False
76.0,36.95945,55.482933,-18.523483,31.722603,79.428683,False
77.0,36.323433,51.998861,-15.675428,28.944347,75.109006,False
78.0,35.6083,48.506691,-12.898391,26.217745,70.678195,False
79.0,34.626002,45.044235,-10.418233,23.645409,66.235032,False
80.0,33.390425,41.631891,-8.241466,21.240645,61.845246,False
81.0,31.942144,38.28853,-6.346386,18.928832,57.597896,False
82.0,30.333519,35.014361,-4.680842,16.608532,53.321372,False
83.0,28.564551,31.814501,-3.24995,14.480844,48.981487,False
84.0,26.823287,28.7076,-1.884313,12.457375,44.68138,False
85.0,25.156159,25.699172,-0.543013,10.524038,40.563257,False
86.0,23.54139,22.842068,0.699322,8.741821,36.715897,False
87.0,21.533025,20.179687,1.353338,6.88674,32.958884,False
88.0,19.584693,17.720064,1.864629,5.409007,29.482281,False
89.0,17.758325,15.475567,2.282758,4.103857,26.411089,False
90.0,16.053921,13.499209,2.554712,2.793459,23.697601,False
91.0,14.47148,11.848868,2.622612,1.647877,21.364877,False
92.0,13.496586,10.508787,2.987799,0.517291,19.564749,False
93.0,12.122694,9.49277,2.629924,-0.021552,18.409434,False
94.0,9.528282,8.783812,0.74447,-0.480601,17.594732,False
95.0,6.950458,8.359079,-1.408621,-0.714933,17.04583,False
96.0,5.324644,8.1072,-2.782556,-0.821333,16.744503,False
97.0,5.201923,7.996614,-2.794691,-0.792731,16.627443,False
98.0,5.133649,7.985524,-2.851875,-0.717541,16.586635,False
99.0,5.098116,7.991509,-2.893393,-0.609247,16.617513,False
100.0,5.068031,8.016227,-2.948196,-0.493726,16.713726,False
