percent,patient_angle,standard_angle,deviation,standard_lower_band,standard_upper_band,outside_standard_band
0.0,3.035787,13.44889,-10.413103,1.184604,15.964627,False
1.0,4.528561,17.306806,-12.778245,-0.19091,25.463696,False
2.0,7.349804,22.084621,-14.734817,-0.236306,38.507627,False
3.0,13.295706,31.437821,-18.142115,4.16381,53.597296,False
4.0,22.553606,42.127356,-19.57375,15.500343,66.891426,False
5.0,32.815732,52.726147,-19.910415,32.40299,78.278238,False
6.0,40.898953,61.679967,-20.781014,47.654179,84.513961,True
7.0,44.091358,67.909626,-23.818268,58.504279,85.75495,True
8.0,43.666614,70.651296,-26.984682,63.468072,83.831235,True
9.0,39.69971,70.022703,-30.322993,62.530896,82.157461,True
10.0,33.435017,66.366345,-32.931328,58.143296,79.954632,True
11.0,27.698554,60.165826,-32.467272,49.883192,75.999016,True
12.0,23.604638,51.959538,-28.3549,37.188526,70.507122,True
13.0,20.7194,42.511556,-21.792156,24.597463,60.696656,True
14.0,17.854208,33.167344,-15.313136,14.786309,47.839173,False
15.0,16.123431,25.961016,-9.837585,9.405801,34.212304,False
16.0,16.301705,22.946641,-6.644936,8.207888,24.232194,False
17.0,19.632936,25.941607,-6.308671,7.446949,28.185421,False
18.0,22.601746,34.597531,-11.995785,7.170926,47.979448,False
19.0,25.279949,46.861258,-21.581309,17.281911,75.293225,False
20.0,27.43447,59.555114,-32.120644,36.586218,93.591134,True
21.0,28.307854,69.74994,-41.442086,59.078573,95.998779,True
22.0,26.331511,75.148886,-48.817375,70.440568,92.130363,True
23.0,24.437803,75.181932,-50.744129,71.465524,85.633103,True
24.0,23.686139,70.43252,-46.746381,63.615156,82.94944,True
25.0,22.085545,62.249976,-40.164431,50.964899,79.542916,True
26.0,18.887201,52.377713,-33.490512,36.589578,70.993657,True
27.0,17.008543,41.958103,-24.94956,22.552864,58.192622,True
28.0,15.58901,32.782012,-17.193002,13.246268,45.129733,False
29.0,15.627133,27.529982,-11.902849,9.200322,33.168169,False
30.0,18.932946,27.842549,-8.909603,8.938475,29.808433,False
31.0,22.39016,34.189874,-11.799714,8.460466,46.602471,False
32.0,24.522988,44.931027,-20.408039,13.366677,70.504475,False
33.0,27.160734,56.933001,-29.772267,32.304258,89.544989,True
34.0,28.06331,67.192615,-39.129305,51.71708,98.062942,True
35.0,28.400828,73.509339,-45.108511,61.764317,97.002335,True
36.0,29.527674,74.471299,-44.943625,66.938623,90.720456,True
37.0,30.337826,70.18991,-39.852084,63.440579,83.597811,True
38.0,29.138931,62.484766,-33.345835,50.394099,81.074749,True
39.0,26.640777,52.547292,-25.906515,34.751961,72.214165,True
40.0,22.34429,42.107518,-19.763228,21.563785,60.151434,False
41.0,18.964792,32.637795,-13.673003,10.98141,47.302927,False
42.0,17.837288,27.197245,-9.359957,5.665197,36.975457,False
43.0,19.183747,27.435852,-8.252105,6.575971,30.195645,False
44.0,22.768188,33.429132,-10.660944,9.405289,43.155337,False
45.0,27.568673,43.659477,-16.090804,16.190181,67.911109,False
46.0,31.748016,55.349218,-23.601202,29.405476,88.811661,False
47.0,35.224228,65.301663,-30.077435,47.428204,97.515902,True
48.0,38.305908,71.161659,-32.855751,55.808622,97.860398,True
49.0,39.793335,72.295035,-32.5017,57.531992,94.553085,True
50.0,39.345197,68.766769,-29.421572,56.912044,85.789212,True
51.0,37.587742,61.930986,-24.343244,50.060519,79.490378,True
52.0,33.459966,52.92616,-19.466194,35.444976,74.216467,True
53.0,27.406446,43.515346,-16.1089,21.937416,63.37377,False
54.0,22.08832,35.417253,-13.328933,10.944281,51.092541,False
55.0,17.795165,30.49895,-12.703785,5.5002,43.092912,False
56.0,15.314547,30.546894,-15.232347,4.219388,44.350583,False
57.0,14.95949,36.000185,-21.040695,5.569349,54.909065,False
58.0,17.039074,45.70551,-28.666436,14.844803,70.945816,False
59.0,21.143364,56.636713,-35.493349,33.523698,83.046038,True
60.0,23.890076,65.62164,-41.731564,50.368005,95.278353,True
61.0,26.361093,70.792682,-44.431589,57.081152,100.800855,True
62.0,30.87122,71.603369,-40.732149,54.655899,95.671781,True
63.0,34.880249,67.784341,-32.904092,49.093993,88.407046,True
64.0,33.438505,60.577197,-27.138692,42.623786,82.052823,True
65.0,29.547813,52.13424,-22.586427,32.918663,74.537414,True
66.0,25.975384,43.8617,-17.886316,19.846455,65.964111,False
67.0,20.522726,37.03439,-16.511664,11.385903,54.512208,False
68.0,14.14118,33.074474,-18.933294,7.720914,47.054718,False
69.0,11.383156,33.426826,-22.04367,5.555072,50.848437,False
70.0,12.681588,38.294065,-25.612477,7.303222,60.553698,False
71.0,17.063125,47.216841,-30.153716,17.996936,71.337155,True
72.0,24.697539,56.887266,-32.189727,33.885562,80.684932,True
73.0,32.346112,64.794121,-32.448009,51.393949,92.609444,True
74.0,38.108388,69.575244,-31.466856,55.744287,97.363474,True
75.0,42.588886,70.466776,-27.87789,53.360637,93.564835,True
76.0,42.93129,66.713408,-23.782118,46.83401,90.311315,True
77.0,38.108498,60.136019,-22.027521,41.323903,82.16191,True
78.0,31.625525,52.453172,-20.827647,32.672961,73.796749,True
79.0,24.799695,44.429851,-19.630156,22.227947,65.105921,False
80.0,19.079843,37.703698,-18.623855,13.289931,56.807076,False
81.0,14.255971,33.476463,-19.220492,6.853031,50.059077,False
82.0,11.451981,32.361909,-20.909928,4.603406,51.620885,False
83.0,10.169261,34.847334,-24.678073,6.576836,57.620519,False
84.0,11.039404,40.143233,-29.103829,12.264944,63.923388,True
85.0,11.851297,46.00971,-34.158413,22.431356,72.519896,True
86.0,13.048608,49.788479,-36.739871,28.948949,80.922155,True
87.0,15.254854,49.699959,-34.445105,28.821877,86.067183,True
88.0,17.374764,44.875922,-27.501158,19.77923,82.205817,True
89.0,17.79787,36.988354,-19.190484,9.891615,65.411517,False
90.0,17.463931,28.028554,-10.564623,3.341086,43.36979,False
91.0,16.911178,20.308083,-3.396905,-1.308801,32.304222,False
92.0,15.13611,15.297961,-0.161851,-2.773652,28.064713,False
93.0,12.586183,13.178503,-0.59232,-5.058983,29.839323,False
94.0,10.455223,12.53384,-2.078617,-5.532228,30.734137,False
95.0,8.689559,12.346814,-3.657255,-5.713686,31.229988,False
96.0,6.764974,12.071157,-5.306183,-5.207774,29.756563,False
97.0,4.832827,11.648921,-6.816094,-2.654053,26.074853,False
98.0,3.753938,11.285829,-7.531891,0.951296,21.072472,False
99.0,3.368031,11.038688,-7.670657,2.623607,18.355945,False
100.0,3.280953,10.814784,-7.533831,2.860722,19.024663,False
