percent,patient_angle,standard_angle,deviation,standard_lower_band,standard_upper_band,outside_standard_band
0.0,20.698411,13.44889,7.249521,1.184604,15.964627,True
1.0,20.650586,17.306806,3.34378,-0.19091,25.463696,False
2.0,20.535135,22.084621,-1.549486,-0.236306,38.507627,False
3.0,20.30564,31.437821,-11.132181,4.16381,53.597296,False
4.0,20.195057,42.127356,-21.932299,15.500343,66.891426,False
5.0,20.159093,52.726147,-32.567054,32.40299,78.278238,True
6.0,20.12344,61.679967,-41.556527,47.654179,84.513961,True
7.0,19.979952,67.909626,-47.929674,58.504279,85.75495,True
8.0,19.664247,70.651296,-50.987049,63.468072,83.831235,True
9.0,19.173725,70.022703,-50.848978,62.530896,82.157461,True
10.0,18.600355,66.366345,-47.76599,58.143296,79.954632,True
11.0,17.743719,60.165826,-42.422107,49.883192,75.999016,True
12.0,16.81267,51.959538,-35.146868,37.188526,70.507122,True
13.0,15.36387,42.511556,-27.147686,24.597463,60.696656,True
14.0,12.153095,33.167344,-21.014249,14.786309,47.839173,True
15.0,12.617167,25.961016,-13.343849,9.405801,34.212304,False
16.0,13.858753,22.946641,-9.087888,8.207888,24.232194,False
17.0,12.389467,25.941607,-13.55214,7.446949,28.185421,False
18.0,10.332356,34.597531,-24.265175,7.170926,47.979448,False
19.0,10.635487,46.861258,-36.225771,17.281911,75.293225,True
20.0,8.29828,59.555114,-51.256834,36.586218,93.591134,True
21.0,5.928127,69.74994,-63.821813,59.078573,95.998779,True
22.0,6.889102,75.148886,-68.259784,70.440568,92.130363,True
23.0,8.006972,75.181932,-67.17496,71.465524,85.633103,True
24.0,9.514806,70.43252,-60.917714,63.615156,82.94944,True
25.0,12.295379,62.249976,-49.954597,50.964899,79.542916,True
26.0,15.754279,52.377713,-36.623434,36.589578,70.993657,True
27.0,15.812878,41.958103,-26.145225,22.552864,58.192622,True
28.0,14.657319,32.782012,-18.124693,13.246268,45.129733,False
29.0,13.181973,27.529982,-14.348009,9.200322,33.168169,False
30.0,10.260909,27.842549,-17.58164,8.938475,29.808433,False
31.0,6.772192,34.189874,-27.417682,8.460466,46.602471,True
32.0,6.715497,44.931027,-38.21553,13.366677,70.504475,True
33.0,8.88908,56.933001,-48.043921,32.304258,89.544989,True
34.0,10.612785,67.192615,-56.57983,51.71708,98.062942,True
35.0,10.955328,73.509339,-62.554011,61.764317,97.002335,True
36.0,10.109823,74.471299,-64.361476,66.938623,90.720456,True
37.0,11.633232,70.18991,-58.556678,63.440579,83.597811,True
38.0,13.723703,62.484766,-48.761063,50.394099,81.074749,True
39.0,13.086902,52.547292,-39.46039,34.751961,72.214165,True
40.0,11.605083,42.107518,-30.502435,21.563785,60.151434,True
41.0,11.057305,32.637795,-21.58049,10.98141,47.302927,False
42.0,8.128972,27.197245,-19.068273,5.665197,36.975457,False
43.0,5.86134,27.435852,-21.574512,6.575971,30.195645,True
44.0,6.263215,33.429132,-27.165917,9.405289,43.155337,True
45.0,8.224389,43.659477,-35.435088,16.190181,67.911109,True
46.0,9.390389,55.349218,-45.958829,29.405476,88.811661,True
47.0,8.626741,65.301663,-56.674922,47.428204,97.515902,True
48.0,9.834074,71.161659,-61.327585,55.808622,97.860398,True
49.0,12.716408,72.295035,-59.578627,57.531992,94.553085,True
50.0,13.956974,68.766769,-54.809795,56.912044,85.789212,True
51.0,12.776748,61.930986,-49.154238,50.060519,79.490378,True
52.0,13.169563,52.92616,-39.756597,35.444976,74.216467,True
53.0,10.648499,43.515346,-32.866847,21.937416,63.37377,True
